company,label,status,Revenues,NetIncomeLoss,OperatingIncomeLoss,GrossProfit,LongTermDebt,ShortTermBorrowings,LiabilitiesCurrent,Liabilities,StockholdersEquity,CashAndCashEquivalentsAtCarryingValue,NetCashProvidedByUsedInOperatingActivities,NetCashProvidedByUsedInFinancingActivities,NetCashProvidedByUsedInInvestingActivities,Assets,AssetsCurrent,RetainedEarningsAccumulatedDeficit,AccountsReceivableNetCurrent,InventoryNet,InterestExpense,debt_to_assets,debt_to_equity,net_income_margin,operating_margin,operating_cashflow_ratio,cashflow_to_debt,asset_turnover,interest_burden,retained_earnings_ratio,cash_flow_margin
Filene's,1.0,Distressed,9643000000.0,2851000000.0,24377000.0,0.0,10911000000.0,2149000000.0,1644502000.0,184333000000.0,29177000000.0,1420888000,3003000000,1800000000,-6816000000,213510000000,2145000000.0,20882000000,987000000.0,0.0,3109000000.0,0.051102992834059294,0.3739589402611646,0.29565487918697503,0.0025279477341076427,1.8260847356828998,0.2752268353038218,0.04516416092923048,0.3224100383698019,0.0978033815746335,0.3114176086280203
General Motors,1.0,Distressed,2247000000.0,65945000.0,1430505000.0,8940698000.0,4795751000.0,943540000.0,9787705000.0,5242000000.0,4422991000.0,333547000,890762000,-209254000,-711587000,20795540000,10564734000.0,4568769000,987000000.0,6071996000.0,64469000.0,0.23061440097251623,1.0842778111011304,0.029348019581664442,0.6366288384512684,0.09100825985253949,0.1857398351165438,0.10805201499937006,0.028691143747218515,0.2196994644043867,0.39642278593680463
CIT Group,1.0,Distressed,3150400000.0,8600000.0,24377000.0,0.0,5837300000.0,0.0,1644502000.0,52383700000.0,5722900000.0,1594000000,480400000,-345700000,1189100000,58106600000,2145000000.0,1428300000,987000000.0,0.0,139600000.0,0.10045846771278995,1.0199898652780932,0.0027298120873539868,0.007737747587607923,0.2921249107632584,0.08229832285474449,0.054217593182185844,0.04431183341797867,0.024580684466136378,0.15248857287963433
Verso Corp,1.0,Distressed,2247000000.0,11185000.0,10665000.0,54816000.0,150000000.0,0.0,53655000.0,140750000.0,491429000.0,83537000,55779000,-276000,-13266000,632179000,235132000.0,-160870000,33776000.0,112305000.0,232000.0,0.23727456938620234,0.3052322919485826,0.00497774810858923,0.004746328437917223,1.039586245457087,0.37186,3.554373049405311,0.00010324877614597241,-0.2544690665143891,0.024823765020026704
Avaya,1.0,Distressed,2247000000.0,-2096000000.0,-1880000000.0,1170000000.0,3170000000.0,210000000.0,1029000000.0,5242000000.0,-1302000000.0,253000000,-312000000,406000000,-108000000,4073000000,1640000000.0,-3081000000,322000000.0,74000000.0,224000000.0,0.7782960962435551,-2.434715821812596,-0.9327992879394749,-0.8366711170449488,-0.3032069970845481,-0.09842271293375394,0.5516818070218512,0.09968847352024922,-0.7564448809231524,-0.13885180240320427
Refco,1.0,Distressed,356360000.0,-6920000.0,-13154000.0,0.0,2142858000.0,0.0,317245000.0,2849062000.0,340881000.0,4765000,114587000,-18216000,-417458000,3628426000,256155000.0,-262380000,121194000.0,7151000.0,107270000.0,0.5905750868282831,6.286234785746346,-0.01941856549556628,-0.03691211134807498,0.3611940298507463,0.053473911943768555,0.09821338508763855,0.3010158266921091,-0.0723123470066635,0.3215484341676956
Palm Inc,1.0,Distressed,0.0,-513396.0,-333952.0,0.0,2424999000.0,0.0,4906501.0,4906501.0,-4904673.0,191764,-173068,173068,0,1828,1828.0,-55273224,987000000.0,0.0,107270000.0,2.0,-10.0,-1.0,-1.0,-0.03527320181938208,-7.136827685289767e-05,0.0,0.0,-2.0,-1.0
JCPenney,1.0,Distressed,2247000000.0,32560000.0,24377000.0,0.0,51521000.0,0.0,1644502000.0,3876259000.0,265985000.0,72651000,46479000,87828000,93301000,4142244000,2145000000.0,294259000,987000000.0,0.0,91274000.0,0.012437944264026939,0.19369889279470648,0.014490431686693369,0.010848687138406764,0.028263267542392775,0.9021369926825954,0.5424595943647936,0.04062038273253227,0.07103854818789043,0.0206849132176235
iHeartMedia,1.0,Distressed,1713888000.0,416538000.0,316912000.0,0.0,20649181000.0,0.0,16354597000.0,5242000000.0,-10606681000.0,267109000,-503740000,151335000,-236071000,12260431000,2067347000.0,-13127843000,1508370000.0,22470000.0,476837000.0,1.6842133037574292,-1.9468089028038082,0.24303688455721728,0.18490823204316734,-0.03080112582413373,-0.02439515639869688,0.13979019171511997,0.2782194635822177,-1.070748899447336,-0.29391652196642953
Adelphia Comm,1.0,Distressed,23769000000.0,7130000000.0,8706000000.0,21218000000.0,6210000000.0,0.0,10200000000.0,17873000000.0,11623000000.0,5431000000,10031000000,-11060000000,-1187000000,29496000000,10163000000.0,45354000000,2344000000.0,0.0,113000000.0,0.21053702196908056,0.5342854684676933,0.2999705498758888,0.36627540073204595,0.9834313725490196,1.6152979066022544,0.8058380797396257,0.0047540914636711685,1.5376322213181448,0.4220202785140309
Toys R Us,1.0,Distressed,2247000000.0,-36000000.0,460000000.0,4108000000.0,4800000000.0,0.0,2738000000.0,5242000000.0,-1292000000.0,566000000,319000000,-185000000,-454000000,6908000000,3389000000.0,-1124000000,987000000.0,2476000000.0,457000000.0,0.6948465547191662,-3.7151702786377707,-0.01602136181575434,0.20471740097908322,0.11650840029218408,0.06645833333333333,0.3252750434279097,0.20338228749443701,-0.16270990156340476,0.14196706720071206
Frontier Comm,1.0,Distressed,12631000000.0,2393000000.0,24377000.0,0.0,790000000.0,0.0,1644502000.0,25091000000.0,15911000000.0,1139000000,3112000000,-973000000,-1691000000,41002000000,2145000000.0,16719000000,987000000.0,0.0,53000000.0,0.019267352812057947,0.04965118471497706,0.18945451666534716,0.0019299342886548968,1.892366199615446,3.939240506329114,0.3080581435051949,0.004196025651175679,0.40776059704404666,0.24637795898978704
Nine West,1.0,Distressed,113097000000.0,30509000000.0,24377000.0,0.0,317816000000.0,45999000000.0,1644502000.0,3108495000000.0,303243000000.0,161560000000,12613000000,69948000000,-145157000000,3411738000000,2145000000.0,261693000000,987000000.0,0.0,73331000000.0,0.09315369468581702,1.0480571686733082,0.2697595869032777,0.00021554064210368092,5.0,0.039686485261912555,0.033149380169286154,0.648390319813965,0.07670372109464443,0.11152373626179297
Caesars,1.0,Distressed,2169000000.0,-304000000.0,177000000.0,0.0,8542000000.0,0.0,2063000000.0,23134000000.0,2131000000.0,1755000000,1007000000,-446000000,-328000000,25345000000,2609000000.0,-11567000000,987000000.0,35000000.0,1370000000.0,0.33702899980272244,4.008446738620366,-0.14015675426463808,0.08160442600276625,0.4881240911294232,0.11788808241629595,0.08557900966660091,0.6316274781005071,-0.4563819293746301,0.46426924850161366
Dana Holding,1.0,Distressed,2247000000.0,-50000000.0,139000000.0,211000000.0,855000000.0,615000000.0,3308000000.0,6909000000.0,840000000.0,469000000,512000000,-371000000,-222000000,7808000000,3868000000.0,235000000,987000000.0,1015000000.0,181000000.0,0.1095030737704918,1.0178571428571428,-0.022251891410769914,0.06186025812194036,0.154776299879081,0.5988304093567252,0.28778176229508196,0.08055184690698709,0.03009733606557377,0.22785936804628393
Sunedison,1.0,Distressed,57399000000.0,12443000000.0,17678000000.0,24287000000.0,0.0,0.0,32643000000.0,5242000000.0,20451000000.0,10786000000,20821000000,1098000000,-21711000000,168361000000,24579000000.0,-15481000000,8558000000.0,303000000.0,3578000000.0,0.0,0.0,0.21678078015296434,0.30798445965957594,0.6378396593450357,5.0,0.3409281246844578,0.062335580759246674,-0.09195122385825696,0.3627415111761529
Kodak,1.0,Distressed,414000000.0,102000000.0,-7000000.0,203000000.0,467000000.0,4000000.0,261000000.0,1142000000.0,641000000.0,201000000,-7000000,-23000000,-39000000,2001000000,595000000.0,-393000000,138000000.0,219000000.0,59000000.0,0.23338330834582707,0.7285491419656787,0.2463768115942029,-0.016908212560386472,-0.02681992337164751,-0.014989293361884369,0.20689655172413793,0.14251207729468598,-0.19640179910044978,-0.016908212560386472
Charming Shoppes,1.0,Distressed,2247000000.0,-481876000.0,-387357000.0,1686611000.0,406271000.0,0.0,831019000.0,5242000000.0,284495000.0,46411000,-251960000,-25870000,279511000,3325309000,1086023000.0,2750748000,987000000.0,953302000.0,44758000.0,0.12217541287140533,1.4280426721032005,-0.21445304850912328,-0.17238851802403204,-0.30319403046139737,-0.6201771723800124,0.6757266768291308,0.0199190031152648,0.8272157564905999,-0.11213173119715175
Conseco,1.0,Distressed,1619584000.0,1812281000.0,2359726000.0,5174164000.0,2424999000.0,0.0,1644502000.0,5242000000.0,4684481000.0,263973000,2165905000,-1619011000,-623638000,9825241000,3436169000.0,11798451000,1417381000.0,447408000.0,111232000.0,0.24681318249598153,0.5176665248508853,1.0,1.0,1.317058294851572,0.8931570693431213,0.1648391118345087,0.06867936457757054,1.200830697180863,1.0
Caterpillar,0.0,Healthy,67589000000.0,968000000.0,11151000000.0,2786000000.0,32522500000.0,5514000000.0,36558000000.0,77267000000.0,32169000000.0,9980000000,11739000000,-3899000000,-4707000000,98585000000,52485000000.0,65448000000,10920000000.0,18135000000.0,910000000.0,0.329892985748339,1.0109888401877585,0.014321857106925684,0.16498246756128956,0.3211061874281963,0.360950111461296,0.6855911142668762,0.013463729305064433,0.6638738144748186,0.17368210803533118
Johnson&Johnson,0.0,Healthy,62900000000.0,26804000000.0,21590000000.0,63937000000.0,41438000000.0,8495000000.0,54126000000.0,117666000000.0,32169000000.0,19709000000,24530000000,-5539000000,-23588000000,199210000000,55624000000.0,168978000000,17178000000.0,14191000000.0,772000000.0,0.20801164600170674,1.2881345394634587,0.4261367249602544,0.34324324324324323,0.4532017884196135,0.5919687243592837,0.31574720144571056,0.012273449920508744,0.8482405501731841,0.38998410174880765
Boeing,0.0,Healthy,89463000000.0,2235000000.0,4281000000.0,4289000000.0,53848000000.0,0.0,108115000000.0,162778000000.0,5454000000.0,10921000000,1065000000,-3763000000,499000000,168235000000,128459000000.0,17252000000,2921000000.0,0.0,910000000.0,0.320076084049098,9.873120645397874,0.024982394956574228,0.0478521847020556,0.009850622022846044,0.019777893329371566,0.5317740065979136,0.010171802868224852,0.10254703242488186,0.011904362697427987
Abbott,0.0,Healthy,62900000000.0,6524000000.0,8053000000.0,4397000000.0,12929000000.0,0.0,16496000000.0,82059500000.0,52130000000.0,8522000000,9566000000,-6309000000,-2422000000,86713000000,25996000000.0,49781000000,7929000000.0,6488000000.0,637000000.0,0.14910105751156114,0.24801457893727222,0.10372019077901432,0.12802861685214625,0.579898157129001,0.7398870755665558,0.725381430696666,0.010127186009538951,0.5740892369079608,0.1520826709062003
Microsoft,0.0,Healthy,16039000000.0,101832000000.0,128528000000.0,193893000000.0,43151000000.0,0.0,141218000000.0,275524000000.0,343479000000.0,30242000000,136162000000,-51699000000,-72599000000,619003000000,191131000000.0,237731000000,69905000000.0,938000000.0,2935000000.0,0.06971048605580264,0.12562922332951942,1.0,1.0,0.964197198657395,3.1554772774674977,0.025911021432852507,0.18299145832034416,0.38405468147973437,1.0
Medtronic,0.0,Healthy,62900000000.0,4662000000.0,5955000000.0,3734000000.0,32522500000.0,0.0,12879000000.0,43424000000.0,48024000000.0,2218000000,7044000000,-4361000000,-1937000000,91680000000,23814000000.0,31476000000,6515000000.0,5476000000.0,719000000.0,0.3547393106457243,0.6772134765950358,0.07411764705882352,0.09467408585055644,0.5469368739808992,0.21658851564301637,0.6860820244328097,0.011430842607313196,0.34332460732984293,0.11198728139904611
Procter&Gamble,0.0,Healthy,84284000000.0,15974000000.0,20451000000.0,0.0,23129000000.0,0.0,36058000000.0,72946000000.0,32169000000.0,4239000000,17817000000,-14036000000,-3818000000,125231000000,25392000000.0,129973000000,6185000000.0,7551000000.0,756000000.0,0.18469069160191964,0.7189841151419069,0.1895258886621423,0.24264391818138675,0.4941205835043541,0.7703316183146699,0.6730282438054476,0.008969673959470362,1.0378660235884085,0.21139243510037492
Pepsi,0.0,Healthy,93925000000.0,8240000000.0,11498000000.0,50859000000.0,46351000000.0,4898000000.0,32764000000.0,86852000000.0,20406000000.0,9159000000,12087000000,-4979000000,-6879000000,107399000000,27949000000.0,72788000000,6515000000.0,5845000000.0,1121000000.0,0.43157757521019746,2.2714397726158975,0.08772957146659568,0.12241682193239287,0.36891099987791476,0.260771072900261,0.8745425935064572,0.01193505456481235,0.6777344295570722,0.12868778280542986
