company,label,status,Revenues,NetIncomeLoss,OperatingIncomeLoss,GrossProfit,LongTermDebt,ShortTermBorrowings,LiabilitiesCurrent,Liabilities,StockholdersEquity,CashAndCashEquivalentsAtCarryingValue,NetCashProvidedByUsedInOperatingActivities,NetCashProvidedByUsedInFinancingActivities,NetCashProvidedByUsedInInvestingActivities,Assets,AssetsCurrent,RetainedEarningsAccumulatedDeficit,AccountsReceivableNetCurrent,InventoryNet,InterestExpense
Nine West,1.0,Distressed,113097000000.0,30509000000.0,24377000.0,0.0,317816000000.0,45999000000.0,1644502000.0,3108495000000.0,303243000000.0,161560000000,12613000000,69948000000,-145157000000,3411738000000,2145000000.0,261693000000,987000000.0,0.0,73331000000.0
Caesars,1.0,Distressed,2169000000.0,-304000000.0,177000000.0,0.0,8542000000.0,0.0,2063000000.0,23134000000.0,2131000000.0,1755000000,1007000000,-446000000,-328000000,25345000000,2609000000.0,-11567000000,987000000.0,35000000.0,1370000000.0
Dana Holding,1.0,Distressed,2247000000.0,-50000000.0,139000000.0,211000000.0,855000000.0,615000000.0,3308000000.0,6909000000.0,840000000.0,469000000,512000000,-371000000,-222000000,7808000000,3868000000.0,235000000,987000000.0,1015000000.0,181000000.0
Sunedison,1.0,Distressed,57399000000.0,12443000000.0,17678000000.0,24287000000.0,0.0,0.0,32643000000.0,5242000000.0,20451000000.0,10786000000,20821000000,1098000000,-21711000000,168361000000,24579000000.0,-15481000000,8558000000.0,303000000.0,3578000000.0
Kodak,1.0,Distressed,414000000.0,102000000.0,-7000000.0,203000000.0,467000000.0,4000000.0,261000000.0,1142000000.0,641000000.0,201000000,-7000000,-23000000,-39000000,2001000000,595000000.0,-393000000,138000000.0,219000000.0,59000000.0
Charming Shoppes,1.0,Distressed,2247000000.0,-481876000.0,-387357000.0,1686611000.0,406271000.0,0.0,831019000.0,5242000000.0,284495000.0,46411000,-251960000,-25870000,279511000,3325309000,1086023000.0,2750748000,987000000.0,953302000.0,44758000.0
Conseco,1.0,Distressed,1619584000.0,1812281000.0,2359726000.0,5174164000.0,2424999000.0,0.0,1644502000.0,5242000000.0,4684481000.0,263973000,2165905000,-1619011000,-623638000,9825241000,3436169000.0,11798451000,1417381000.0,447408000.0,111232000.0
Caterpillar,0.0,Healthy,67589000000.0,968000000.0,11151000000.0,2786000000.0,32522500000.0,5514000000.0,36558000000.0,77267000000.0,32169000000.0,9980000000,11739000000,-3899000000,-4707000000,98585000000,52485000000.0,65448000000,10920000000.0,18135000000.0,910000000.0
Johnson&Johnson,0.0,Healthy,62900000000.0,26804000000.0,21590000000.0,63937000000.0,41438000000.0,8495000000.0,54126000000.0,117666000000.0,32169000000.0,19709000000,24530000000,-5539000000,-23588000000,199210000000,55624000000.0,168978000000,17178000000.0,14191000000.0,772000000.0
Boeing,0.0,Healthy,89463000000.0,2235000000.0,4281000000.0,4289000000.0,53848000000.0,0.0,108115000000.0,162778000000.0,5454000000.0,10921000000,1065000000,-3763000000,499000000,168235000000,128459000000.0,17252000000,2921000000.0,0.0,910000000.0
